"country","ov","var","x","coef","se","lwr","upr","n","df","p","star"
"Eswatini","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,34015,34013,0.03,"*"
"Gabon","acled_event_type1_dif3","lose","lose",0.68,0.25,0.19,1.17,34847,34845,0.01,"*"
"Gabon","acled_event_type1_dif3","win","win",0.64,0.3,0.06,1.22,33413,33411,0.03,"*"
"Gambia","acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.16,35331,35329,0.01,"*"
"Gambia","acled_event_type1_dif3","win","win",0.63,0.29,0.05,1.2,33905,33903,0.03,"*"
"Ghana","acled_event_type1_dif3","lose","lose",0.67,0.27,0.14,1.19,32234,32232,0.01,"*"
"Ghana","acled_event_type1_dif3","win","win",0.65,0.32,0.02,1.28,30995,30993,0.04,"*"
"Guinea","acled_event_type1_dif3","lose","lose",0.64,0.25,0.15,1.13,34258,34256,0.01,"*"
"Guinea","acled_event_type1_dif3","win","win",0.65,0.3,0.06,1.24,32934,32932,0.03,"*"
"Guinea-Bissau","acled_event_type1_dif3","lose","lose",0.67,0.25,0.18,1.15,35147,35145,0.01,"*"
"Guinea-Bissau","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,33714,33712,0.04,"*"
"Kenya","acled_event_type1_dif3","lose","lose",0.66,0.25,0.18,1.14,35179,35177,0.01,"*"
"Kenya","acled_event_type1_dif3","win","win",0.6,0.29,0.03,1.18,33732,33730,0.04,"*"
"Liberia","acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.15,35419,35417,0.01,"*"
"Liberia","acled_event_type1_dif3","win","win",0.63,0.29,0.06,1.21,33986,33984,0.03,"*"
"Libya","acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35444,35442,0.01,"*"
"Libya","acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,34014,34012,0.03,"*"
"Madagascar","acled_event_type1_dif3","lose","lose",0.68,0.25,0.2,1.16,35397,35395,0.01,"*"
"Madagascar","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,33953,33951,0.03,"*"
"Malawi","acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35479,35477,0.01,"*"
"Malawi","acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,34032,34030,0.03,"*"
"Mali","acled_event_type1_dif3","lose","lose",0.71,0.26,0.2,1.21,33744,33742,0.01,"*"
"Mali","acled_event_type1_dif3","win","win",0.66,0.31,0.05,1.26,32237,32235,0.03,"*"
"Mauritania","acled_event_type1_dif3","lose","lose",0.65,0.24,0.18,1.13,35354,35352,0.01,"*"
"Mauritania","acled_event_type1_dif3","win","win",0.59,0.29,0.02,1.16,33952,33950,0.04,"*"
"Morocco","acled_event_type1_dif3","lose","lose",0.68,0.25,0.19,1.18,34295,34293,0.01,"*"
"Morocco","acled_event_type1_dif3","win","win",0.65,0.3,0.06,1.24,32994,32992,0.03,"*"
"Mozambique","acled_event_type1_dif3","lose","lose",0.68,0.25,0.19,1.16,35324,35322,0.01,"*"
"Mozambique","acled_event_type1_dif3","win","win",0.63,0.29,0.05,1.2,33887,33885,0.03,"*"
"Namibia","acled_event_type1_dif3","lose","lose",0.68,0.25,0.19,1.16,35402,35400,0.01,"*"
"Namibia","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,33931,33929,0.03,"*"
"Niger","acled_event_type1_dif3","lose","lose",0.66,0.24,0.18,1.14,35410,35408,0.01,"*"
"Niger","acled_event_type1_dif3","win","win",0.61,0.29,0.04,1.18,33968,33966,0.04,"*"
"Nigeria","acled_event_type1_dif3","lose","lose",0.86,0.2,0.46,1.26,31750,31748,0,"*"
"Nigeria","acled_event_type1_dif3","win","win",0.42,0.23,-0.03,0.87,30466,30464,0.07,"."
"Senegal","acled_event_type1_dif3","lose","lose",0.75,0.28,0.21,1.29,30024,30022,0.01,"*"
"Senegal","acled_event_type1_dif3","win","win",0.82,0.28,0.27,1.36,28692,28690,0,"*"
"Sierra Leone","acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.16,35221,35219,0.01,"*"
"Sierra Leone","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,33780,33778,0.04,"*"
"Somalia","acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35480,35478,0.01,"*"
"Somalia","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,34026,34024,0.04,"*"
"South Africa","acled_event_type1_dif3","lose","lose",0.68,0.25,0.19,1.17,34622,34620,0.01,"*"
"South Africa","acled_event_type1_dif3","win","win",0.6,0.3,0.02,1.18,33273,33271,0.04,"*"
"Togo","acled_event_type1_dif3","lose","lose",0.67,0.25,0.18,1.15,34931,34929,0.01,"*"
"Togo","acled_event_type1_dif3","win","win",0.67,0.29,0.1,1.25,33441,33439,0.02,"*"
"Tunisia","acled_event_type1_dif3","lose","lose",0.62,0.24,0.15,1.09,34623,34621,0.01,"*"
"Tunisia","acled_event_type1_dif3","win","win",0.57,0.29,0,1.14,33275,33273,0.05,"."
"Uganda","acled_event_type1_dif3","lose","lose",0.65,0.24,0.18,1.13,35411,35409,0.01,"*"
"Uganda","acled_event_type1_dif3","win","win",0.6,0.29,0.03,1.18,33975,33973,0.04,"*"
"Zambia","acled_event_type1_dif3","lose","lose",0.65,0.24,0.17,1.12,35255,35253,0.01,"*"
"Zambia","acled_event_type1_dif3","win","win",0.65,0.29,0.07,1.22,33861,33859,0.03,"*"
"Zimbabwe","acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.15,35367,35365,0.01,"*"
"Zimbabwe","acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,33921,33919,0.03,"*"
